id,submission_time,vote_number,question_id,message,image
1,1493398154,13,1,You need to use brackets: my_list = [],
2,1493088154,44,1,Look it up in the Python docs,
7,1637744023,10,1,I don't know...,
9,1637751340,0,9,lol,
10,1637768282,2,4,"Fuck you dipshit! 

- AskMate moderator",
11,1637768336,5,4,He is right tho,
12,1637782057,1,10,Széééép!,
13,1637782680,0,10,"Kurvajó a vibe, mondjuk lehet sötétebbre raknám kicsit, de lehet, hogy csak az én monitorom kevés ehhez.",
14,1637829655,0,4,"damn this shit crazy dawg but 
▬▬▬.◙.▬▬▬
═▂▄▄▓▄▄▂
◢◤ █▀▀████▄▄▄▄◢◤
█▄ █ █▄ ███▀▀▀▀▀▀▀╬
◥█████◤
══╩══╩═
╬═╬
╬═╬ just dropped down to say
╬═╬
╬═╬ You’re hella gay🚫🧢
╬═╬☻/
╬═╬/▌
╬═╬/ \",
15,1637829927,0,12,Nice!,
16,1637924491,0,11,dik,
